SPECTRUM DATA FILE
SpectrumCount:	2
PixelCount:	2500
UserName:	XCS Laser
SampleName:	
LightSource:	
Comments:	
DeviceName:	Qmini
DeviceManufacturer:	Broadcom
DeviceSerialNo:	21444

Name:	last spectrum	last spectrum
Date:	2020-11-23T16:39:45.7650000-08:00	2020-11-23T16:52:36.9100000-08:00
ExposureTime:	0.1	0.1
TemporalAvg:	1	1
IntensityUnit:	normalizedCounts	normalizedCounts
CCDLoadLevel:	0.5133696	0.4760772
Temperature:	25.77332	26.1875
DiagramColor:	200	16711680
ProcessingSteps:	847	847

Wavelength [nm]	Intensity1	Intensity2
333.2694	-0.4914237	1.045717
333.609	0.3926267	2.267966
333.9486	1.018348	1.254958
334.2882	1.366139	0.2185953
334.6278	0.4941533	-0.7030213
334.9673	0.5121347	0.5314007
335.3069	-0.3377326	0.48641
335.6465	0.1799193	1.804661
335.986	1.275254	1.263688
336.3255	1.988752	0.9411198
336.6651	1.730657	0.3263699
337.0046	0.5356098	0.2096396
337.3441	0.1039876	-0.06241897
337.6836	-0.1458703	0.1147274
338.0231	0.8425347	0.3064861
338.3625	0.868464	-0.1702154
338.702	1.09072	-0.03911797
339.0415	1.308294	0.4716246
339.3809	0.7169419	0.405593
339.7204	-0.0475388	0.5681395
340.0598	-0.2238899	-0.2129542
340.3992	0.722236	0.1379492
340.7386	-0.100162	-0.201717
341.0781	-0.7471392	0.4634961
341.4174	-0.4985776	0.2905412
341.7568	-0.2932309	0.6503111
342.0962	-0.3551865	-0.06420447
342.4356	-0.3051281	-0.860256
342.775	0.3290153	-0.2214064
343.1143	0.3456204	0.2225504
343.4536	0.58205	0.2895854
343.793	0.4622031	-0.7317285
344.1323	0.6629676	-0.9875476
344.4716	1.051839	-0.7310835
344.8109	0.7997403	-0.6043375
345.1502	-0.05721822	-0.8073149
345.4895	-0.7244446	-0.7045124
345.8288	-0.3236417	-0.6952145
346.1681	-0.1654018	-1.323386
346.5073	0.4577864	-0.8174479
346.8466	0.2014561	0.5016292
